제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
(The)Confidence-man 연구,손정희,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900516,,KDC 843,포함
'비문 양식(Epitaphic mode)'의 글로 본 William Wordsworth의 The Prelude,엄용희,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900517,,KDC 841,포함
Sir Walter Scott의 Waverley연구,정경심,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900518,,KDC 843,포함
Thomas Pynchon의 The Crying of lot 49의 연구,김진경,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900519,,KDC 843,포함
리얼리즘 소설로서의 Wuthering heights 연구,김정미,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900520,,KDC 843,포함
Garden of Adonis와 Two cantos of mutabilitie를 통해 본 The Faerie Queene의 세계,김영현,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900521,,KDC 841,포함
Thomas Hardy의 The Woodlanders 연구,김성호,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900522,,KDC 843,포함
용서의 적극적 의미,박정호,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900523,,KDC 841,포함
漢代樂府詩의 句法硏究,최금옥,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900524,,KDC 821,포함
文藝大衆化論 硏究,심혜영,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900525,,KDC 820,포함
硏究,김영식,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900527,,KDC 823,포함
徐渭의 硏究,권응상,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900528,,KDC 822,포함
Corneille悲劇 硏究에 關한 批判的考察,곽광자,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900587,,KDC 862,포함
Jane Austen의 Persuasion 연구,박향주,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900399,,KDC 843,포함
Lawrence의 시에 나타난 시인의 영적탐색,김재홍,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900400,,KDC 841,포함
全光鏞 小說 硏究,김소영,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901378,,KDC 813,포함
Siegfried Lenz의 ″獨逸語 時間″ 硏究,염정용,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901379,,KDC 853,포함
夢遊錄의 樣式的 特性에 對한 硏究,이주영,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900404,,KDC 813,포함
金起林 모더니즘文學 연구,이미경,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900405,,KDC 811,포함
李奎報 詩論硏究,정성배,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901384,,KDC 811,포함
Faulkner 소설에 나타난 흑인관,장병길,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900302,,KDC 843,포함
M.Leiris의 에 나타난 자서전 기술과 삶의 관계,유호식,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900406,,KDC 863,포함
현실 속의 삶의 한 방식,손재순,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900407,,KDC 863,포함
Coriolanus:역사성과 비극성의 통합,정병채,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900408,,KDC 842,포함
Saul Bellow 硏究,이태동,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900220,,KDC 843,포함
趙芝熏 文學硏究,박호영,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900221,,KDC 811,포함
1930년대 한국 모더니즘 문학연구,서준섭,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900223,,KDC 810,포함
의 기호학적 분석 시론,신은영,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900423,,KDC 862,포함
이오네스코 연극 작품의 공간 연구,윤동진,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900321,,KDC 862,포함
역사영웅 소설연구,조광국,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900411,,KDC 813,포함
梁柱東 文學論 硏究,최승호,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900410,,KDC 810,포함
田禹治傳 異本群의 작품구조 연구,방대수,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900412,,KDC 813,포함
林和의 新文學史 方法論에 관한 硏究,전승주,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900413,,KDC 810,포함
韓國 近代批評에서의 리얼리즘論 硏究,장사선,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900332,,KDC 810,포함
Nabokov 小說의 構造 硏究,윤효윤,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900324,,KDC 843,포함
日帝 强占期 韓國小說에 나타난 獨立運動家像 硏,민현기,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900340,,KDC 813,포함
James Joyce의 Fetishism 硏究,허명선,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901390,,KDC 843,포함
開化期 詩歌 硏究,권오만,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900338,,KDC 811,포함
B.Brecht의 연구,최동규,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900367,,KDC 852,포함
非現實의 美學으로의 回歸,박정자,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900358,,KDC 863,포함
玄鎭建 小說 硏究,박성국,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900090,,KDC 813,포함
Eugene O'Neill의 비극과 자아해방의 비전,김경한,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900659,,KDC 842,포함
LeRoi Jones의 초기극 연구,강미숙,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900660,,KDC 842,포함
新小說의 敍事構造와 장르的 特性 硏究,이재환,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900665,,KDC 813,포함
黃山谷詩論硏究,최일의,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900684,,KDC 821,포함
崔仁勳의 硏究,정대화,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901410,,KDC 813,포함
W.B. Yeats의 詩에 나타난 Unity of being에 관한 硏究,주복남,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901925,,KDC 841,포함
蘇軾 歷史人物論 硏究,박상우,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901617,,KDC 820,포함
曹?의 初期澈硏究,조병일,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901618,,KDC 822,포함
