제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
12월 '작가와 함께 그림책 읽는 아이' 운영 안내,정봉식,동화,,발표 시기 미상,,,,포함
프로그램 취소,정봉식,동화,,발표 시기 미상,,,,포함
2016 꿈다락 토요문화학교 「연극으로 읽는 동화」 6기 모집,고정주,동화,,발표 시기 미상,,,,포함
10월 '작가와 함께 그림책 읽는 아이' 운영 안내,이수경,동화,,발표 시기 미상,,,,포함
2012년도 「그림책 깊이 읽기」 워크숍(1기) 참가대상자 명단 알림,이아진,동화,,발표 시기 미상,,,,포함
'그림책을 펼치다-한국 창작 그림책전' 전시 연장 운영,이진아,동화,,발표 시기 미상,,,,포함
9월 '작가와 함께 그림책 읽는 아이' 운영 안내,박재민,동화,,발표 시기 미상,,,,포함
체험형 동화구연 신규동화 추가 안내,관리자,동화,,발표 시기 미상,,,,포함
2016 꿈다락 토요문화학교 「연극으로 읽는 동화」 5기 모집,고정주,동화,,발표 시기 미상,,,,포함
참가 신청 안내,송민선,동화,,발표 시기 미상,,,,포함
8월 '작가와 함께 그림책 읽는 아이' 운영 안내,박재민,동화,,발표 시기 미상,,,,포함
4월 연극으로 읽는 동화 초등 1~2학년 어린이 함께 해요!,어린이자료실,동화,,발표 시기 미상,,,,포함
3월「연극으로 읽는 동화」접수가 모두 마감되었습니다. 감사합니다.,어린이자료실,동화,,발표 시기 미상,,,,포함
영어그림책스토리타임(5~7세) 마감을 알려드립니다. 초등영어는 모집 중 입니다.,김애란,동화,,발표 시기 미상,,,,포함
「그림책을 펼치다-한국 창작 그림책전」전시 안내,이진아,동화,,발표 시기 미상,,,,포함
6월 작가와 함께 그림책 읽는 아이,박재민,동화,,발표 시기 미상,,,,포함
5월 '작가와 함께 그림책 읽는 아이' 안내,박재민,동화,,발표 시기 미상,,,,포함
2016 꿈다락 토요문화학교 「연극으로 읽는 동화」 2기 모집,고정주,동화,,발표 시기 미상,,,,포함
4월 작가와 함께 그림책 읽는 아이 운영 안내,박재민,동화,,발표 시기 미상,,,,포함
2016 꿈다락 토요문화학교 「연극으로 읽는 동화」 1기 모집,고정주,동화,,발표 시기 미상,,,,포함
언니·오빠와 함께 읽는 영어그림책 운영 알림,정혜연,동화,,발표 시기 미상,,,,포함
3월 작가와 함께 그림책 읽는 아이 운영 안내,박재민,동화,,발표 시기 미상,,,,포함
