제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
한양 1770년,정승모,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5033&book_info_id=3,,,포함
실비아 플라스 동화집,실비아 플라스/오현아,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=54288&book_info_id=9,,,포함
"직지를 찍는 아이, 아로",정명섭,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=56875&book_info_id=2,,,포함
왕따 실험 생중계,덕 빌헬름/정미영,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5044&book_info_id=1,,,포함
수상한 아파트(북멘토 가치동화 8),박현숙,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=18008&book_info_id=8,,,포함
빨간 모자,에런 프리시,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5044&book_info_id=10,,,포함
작은 사람 권정생,이기영,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=18197&book_info_id=1,,,포함
곱구나! 우리 장신구,박세경,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=25171&book_info_id=3,,,포함
린드버그 : 하늘을 나는 생쥐,토르벤 쿨만/윤혜정,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=32361&book_info_id=9,,,포함
"오스카 와일드, 아홉 가지 이야기",오스카 와일드/최애리,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=37326&book_info_id=1,,,포함
"그리스 로마 신화를 보다 (1,2)",토머스 불핀치/노태복,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=45640&book_info_id=2,,,포함
세상에서 가장 큰 스케치북,박수현,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5002&book_info_id=10,,,포함
조선의 마지막 군마,김일광,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5014&book_info_id=10,,,포함
남대문의 봄,이현숙,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5041&book_info_id=10,,,포함
"녹디생이, 사라진 변기를 찾아라",김원석,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=54288&book_info_id=8,,,포함
안데르센 동화집(4~7),한스 크리스티안 안데르센,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=56875&book_info_id=8,,,포함
텐텐 영화단,김혜정,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5045&book_info_id=1,,,포함
소원을 비는 나무,윌리엄 포크너/김욱동,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5041&book_info_id=1,,,포함
거짓말 같은 이야기,강경수,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5019&book_info_id=10,,,중복 제외 (앞 순위 출처에 있음)
나는 말하기 좋아하는 말더듬이입니다,빈스 바터/김선영,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=37326&book_info_id=8,,,포함
쇠제비갈매기의 꿈,신동만,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=70266&book_info_id=7,,,포함
지하세계 아이들,프랑수아즈 제/ 최정수,장편소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5032&book_info_id=1,,,포함
수요일의 눈물,최은영,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5032&book_info_id=10,,,포함
옛사람들의 세상 읽기 그리스 신화,강대진,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5026&book_info_id=9,,,포함
