제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
"연극, 역사와 시대에 대하여 다시 입을 열다  : 일상성에서 벗어나 부활한 '정치적인 것'",이은경,평론,2015,기관 등록 연도,000000093431,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극, 역사와 시대에 대하여 다시 입을 열다 : 장소 특정성 연극에서 '장소'는 무엇인가 <당신의 소파를 옮겨드립니다>, <헤테로토피아>",김소연,평론,2015,기관 등록 연도,000000093429,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극계 성폭력과 페미니즘 연극 : 폐허의 가면과 예민한 혁명,양근애,평론,2018,기관 등록 연도,000000161267,공연과 이론을 위한 모임,한국문화예술위원회 · 예술자료원-소장자료,포함
연극과 대화하기 : 2007년도 19회 거창국제연극제 평론집,권경희 김명화 김성희 김중효 나진환 백로라 심상교 심재민 이광국 이상우 이용복 정성희 한귀은,평론,2007,제목의 발행 연도,http://archive.arko.or.kr/search/detail/CATTOT000000523894,거창연극제육성진흥회 : 거창연극제집행위원회 : 연극과 인간,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극과 더불어 보낸 40년의 비망록 : 한상철 연극평론집 『현대극의 상황과 한국연극』 (현대미학사, 2008)",이상우,평론,2008,제목의 발행 연도,000000093822,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극과 축제와 평론을 위한 암스테르담에서의 5박6일 : 암스테르담 연극 축제와 국제연극평론가협회의 젊은 평론가를 위한 세미나 참가기,이화원,평론,2015,기관 등록 연도,000000095633,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
연극과 탈민족주의 : '민족'을 횡단하는 연극: 연극의 문화상호주의와 탈민족주의를 생각한다,최성희,평론,2015,기관 등록 연도,000000093752,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극과 탈민족주의 : 셰익스피어와 탈식민주의에 대한 단상,김미도,평론,2015,기관 등록 연도,000000093753,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극과 탈민족주의 : 연극적 상상력과 예술적 기법의 초국적 횡단,김춘희,평론,2015,기관 등록 연도,000000093754,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극배우들을 위한 헌사  : <줄리에게 박수를>,김미도,평론,2015,기관 등록 연도,000000094613,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극부문 수상소감 : 제4회 PAF비평상,김승옥,평론,2020,기관 등록 연도,000000175743,현대미학사,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평 : 극장과 관객 사이 다리를 놓는 소명 - 국제연극평론가협회 회장 제프리 에릭 젠킨스,이은경 이화영 정재은 역,평론,2023,기관 등록 연도,000000186858,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평 기능의 실용적 고찰 : 한국연극 100년-다시 읽고 싶은 연극론·비평選 32,여석기,평론,2017,기관 등록 연도,000000154426,현대미학사,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평 자성론 : 공연평의 문제평론의 문제,한상희,평론,2015,기관 등록 연도,000000107758,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평 좌담 : 현장과 비평의 상생,이주영 김민솔 김수정 김일송 남명렬 엄현희 전윤환 유승희,평론,2021,기관 등록 연도,000000179654,공연과 이론을 위한 모임,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극비평, 무엇이 문제인가 : 나는 이렇게 생각한다. 현장연극인이 말하는 오늘의 연극비평",김수진 백성희 윤조병 채윤일 강영걸 김지숙 김세동,평론,2015,기관 등록 연도,000000099572,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극비평, 무엇이 문제인가 : 신세기를 맞는 연극비평가의 자세",양혜숙,평론,2015,기관 등록 연도,000000099567,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극비평, 무엇이 문제인가 : 연극비평의 현실과 허구",안치운,평론,2015,기관 등록 연도,000000099568,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극비평, 무엇이 문제인가 : 연극평론가 O형께",김철리,평론,2015,기관 등록 연도,000000099569,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극비평, 무엇이 문제인가 : 연극평론가들의 국제적인 고민들",김윤철,평론,2015,기관 등록 연도,000000099571,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극비평, 사유(思惟)할 권리 : 「몸의 연극, 배우의 연극, 껍데기의 연극」을 읽고",안치운,평론,2020,기관 등록 연도,000000176298,현대미학사,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평가와 심리,필립 와이즈먼(Philip Weissman) 김지명,평론,2016,기관 등록 연도,000000116975,현대미학사,한국문화예술위원회 · 예술자료원-소장자료,포함
