제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
무정에세이,부희령,수필,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031626&isbn=9788997186891&mid=b30201000000,사월의책,,포함
동양하숙: 신원철 시집,신원철,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031661&isbn=9791188903337&mid=b30201000000,서정시학,,포함
정글만리:조정래 장편소설.2,조정래,장편소설,2013,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1021611&isbn=9788965744030&mid=b30201000000,해냄,,중복 제외 (앞 순위 출처에 있음)
파도를 기다리다 :코이께 마사요 소설집,고이케 마사요,단편소설,2010,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1026539&isbn=9788936471958&mid=b30201000000,창비,,포함
조선왕실의 백년손님:벼슬하지 못한 부마와 그 가문의 이야기,신채용,평론,2017,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1027459&isbn=9788976965523&mid=b30201000000,역사비평사,,포함
증오하는 인간의 탄생 : 인종주의는 역사를 어떻게 해석했는가,나인호,평론,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030932&isbn=9788976964342&mid=b30201000000,역사비평사,,포함
천 개의 바람이 되어:치유 시·산문집,신현림,수필,2014,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1026117&isbn=9791195273928&mid=b30201000000,사과꽃,,포함
엎드려 별을 보다:김일연 시집,김일연,시,2012,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1021483&isbn=9788979443776&mid=b30201000000,책만드는집,,포함
이 모든 극단적인 순간들:윤대녕 산문집,윤대녕,수필,2010,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1021556&isbn=9788992650342&mid=b30201000000,푸르메,,포함
파지에 시를 쓰다:정세훈 산문집,정세훈,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031617&isbn=9791130814575&mid=b30201000000,푸른사상,,포함
남자의 전설 1,임채영,소설,2000,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1010501&isbn=8979192177&mid=b30201000000,창해,,포함
남자의 전설 2,임채영,소설,2000,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1010502&isbn=8979192185&mid=b30201000000,창해,,포함
스마트소설 박인성 문학상,양진채,소설,2014,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1017150&isbn=9791156290001&mid=b30201000000,문학나무,,포함
짧은 느낌 긴 사색:종교학자 정진홍 에세이,정진홍,수필,2015,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1025652&isbn=9788981631659&mid=b30201000000,당대,,포함
수성과 옹호:복거일의 문학 에세이,복거일,수필,2010,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1021570&isbn=9788932020686&mid=b30201000000,문학과지성사,,포함
선생님을 이긴 날:김은영 시,김은영,시,2011,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1023853&isbn=9788954605199&mid=b30201000000,문학동네,,포함
개구쟁이노마와현덕동화나라,현덕,동화,2006,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1015681&isbn=8901059509&mid=b30201000000,웅진씽크빅,,포함
보기왕이 온다 : 사와무리 이치 장편소설,사와무라 이치,장편소설,2018,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1029216&isbn=9788950977795&mid=b30201000000,아르테,,포함
거장들의 스캔들,홍지화,평론,2011,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1021481&isbn=9788997190096&mid=b30201000000,작가와비평,,포함
공기 도미노 : 최영건 장편소설,최영건,장편소설,2017,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1028007&isbn=9788937473159&mid=b30201000000,민음사,,포함
