제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
노라와 모라,김선재,소설,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=98138,,,포함
차의 시간을 걷다,"김세리, 조미라",시,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=97942,,,포함
애쓰다 지친 나를 위해,서덕,기타,2019,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=94554,,,포함
상냥한 사람,윤성희,소설,2019,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=88202,,,포함
그래도 우리의 나날,시바타 쇼,소설,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=80831,,,포함
희망수업,,기타,2014,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=9979,,,포함
"책, 읽거나 먹거나 : 실학자 이덕무의 비밀 친구 이야기",김주현,소설,2014,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=33702,,,포함
마카로니 프로젝트,김솔,소설,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=73183,,,포함
더월,존 란체스터,소설,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=98335,,,포함
열다섯 마리 개,앙드레 알렉시스,소설,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=98029,,,중복 제외 (앞 순위 출처에 있음)
딸에 대하여,김혜진,소설,2017,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=59422,,,중복 제외 (앞 순위 출처에 있음)
만약은 없다,남궁인,기타,2016,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=42290,,,포함
태도에 관하여,임경선,기타,2015,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=19380,,,포함
서른의 반격,손원평,소설,2017,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=60918,,,중복 제외 (앞 순위 출처에 있음)
