제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
황금노트북 1-3,도리스 레싱,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=345,,,포함
듀이 : 세계를 감동시킨 도서관 고양이,"비키 마이런, 브렛 위터",기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=576,,,포함
별이 차가운 밤이면,이병주[,장편소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=577,,,포함
오디세우스의 모험,공국진,동화,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=26,,,포함
선덕여왕,한소진,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=561,,,포함
"서울, 어느날 소설이 되다","이혜경, 하성란, 권여선, 김숨, 강영숙, 이신조, 윤성희, 편혜영, 김애란",소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=564,,,포함
괴테 시 전집,요한 볼프강 폰 괴테,시,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=569,,,포함
신도 버린 사람들,나렌드라 자다브,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=332,,,포함
석류나무 그늘아래,타리크 알리,소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=333,,,포함
성격별 영어 공부법,방성주,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=609,,,포함
(2009) 제9회 황순원문학상 수상작품집,박민규 외,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=613,,,포함
중국문인의 비정상적인 죽음,리궈원,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=582,,,포함
(이외수의 우화상자) 외뿔,이외수,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=632,,,포함
밤을 쫓는 아이,케이트 톰프슨,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=633,,,포함
황금 물고기,르 클레지오,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=634,,,포함
좋은 이별 : 김형경 애도 심리 에세이,김형경,수필,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=643,,,포함
그대 언제 이 숲에 오시렵니까,도종환,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=365,,,포함
스피치의 신神,이진우,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=595,,,포함
불멸이여 순결한 가슴이여 : 국보사랑시집,지은이 : 오탁번 외 ; 엮은이 : 한국시인협회,시,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=645,,,포함
꿈꾸는 책들의 도시. 1-2,발터 뫼르스,소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=36,,,포함
버리고 갈 것만 남아서 참 홀가분하다,박경리,시,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=408,,,포함
10번 교향곡,조셉 젤리네크 ; 김현철,소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=438,,,포함
아름다움이 나를 멸시한다,은희경,단편소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=329,,,중복 제외 (앞 순위 출처에 있음)
카스테라,박민규,단편소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=38,,,중복 제외 (앞 순위 출처에 있음)
사랑하라 한번도 상처받지 않은 것처럼,류시화 엮음,시,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=39,,,포함
로드(The Road),코맥 매카시,소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=409,,,포함
사라져가는 것들 잊혀져가는 것들,이호준,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=415,,,포함
동화의 정체,잭 자이프스,동화,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=422,,,포함
왜 고전을 읽는가,이탈로 칼비노,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=433,,,포함
건방진 우리말 달인,엄민용,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=439,,,포함
바다의 기별 : 김훈 에세이,김훈,수필,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=448,,,포함
제10회 황순원문학상 수상작-칼,이승우,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=782,,,포함
"이효석문학상 수상작품집 2011 : 제12회 수상작 해마, 날다",윤고은 외,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=855,,,포함
2011 제56회 현대문학상 소설집- 강변마을,전경린,단편소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=783,,,포함
우리들의 행복한 시간,공지영,소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=84,,,중복 제외 (앞 순위 출처에 있음)
피플붓다,한승원,소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=749,,,포함
(괴테의)예술동화,요한 볼프강 폰 괴테,동화,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=86,,,포함
사랑을 생각하다,파트리크 쥐스킨트,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=87,,,포함
제2회 젊은작가상 수상작품집 : 물속 골리앗,김애란,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=809,,,포함
민통선 평화기행,이시우,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=83,,,중복 제외 (앞 순위 출처에 있음)
구해줘,기욤 뮈소,소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=99,,,포함
악마는 프라다를 입는다 1-2,로렌 와이스버거 [,소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=98,,,포함
셰익스피어 연극 사전,한국셰익스피어 학회,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=95,,,포함
불문학텍스트의 한국어번역 연구,김윤진,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=88,,,포함
주홍글자,서숙,소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=138,,,포함
다시 찾아 간 나니아,샤나코히,동화,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=139,,,포함
